Sig_day,Sig_time,Validated,Val_day,Val_time,Label,is_covid,Method,Person,Start_time,sig_day_time,val_day_time
19/10/2020,10:00:00,yes,19/10/2020,15:50:00,Topic 67a,no,epitweetr,EI expert 1,15:45:00,19/10/2020 10:00,19/10/2020 15:50
20/10/2020,10:00:00,yes,20/10/2020,17:45:00,Topic 67a,no,epitweetr,EI expert 1,17:45:00,20/10/2020 10:00,20/10/2020 17:45
20/10/2020,10:00:00,yes,20/10/2020,17:45:00,Topic 67a,no,epitweetr,EI expert 1,17:45:00,20/10/2020 10:00,20/10/2020 17:45
20/10/2020,10:00:00,yes,20/10/2020,17:45:00,Topic 67a,no,epitweetr,EI expert 1,17:45:00,20/10/2020 10:00,20/10/2020 17:45
20/10/2020,10:00:00,yes,20/10/2020,17:45:00,Topic 67a,no,epitweetr,EI expert 1,17:45:00,20/10/2020 10:00,20/10/2020 17:45
20/10/2020,10:00:00,yes,20/10/2020,17:45:00,Topic 67a,no,epitweetr,EI expert 1,17:45:00,20/10/2020 10:00,20/10/2020 17:45
20/10/2020,10:00:00,yes,20/10/2020,17:45:00,Topic 67a,no,epitweetr,EI expert 1,17:45:00,20/10/2020 10:00,20/10/2020 17:45
20/10/2020,13:00:00,yes,20/10/2020,17:45:00,Topic 67a,no,epitweetr,EI expert 1,17:45:00,20/10/2020 13:00,20/10/2020 17:45
26/10/2020,03:00:00,yes,26/10/2020,10:05:00,Topic 67b,no,epitweetr,EI expert 1,10:00:00,26/10/2020 03:00,26/10/2020 10:05
26/10/2020,03:00:00,yes,26/10/2020,10:05:00,Topic 67b,no,epitweetr,EI expert 1,10:00:00,26/10/2020 03:00,26/10/2020 10:05
26/10/2020,03:00:00,yes,26/10/2020,10:05:00,Topic 67b,no,epitweetr,EI expert 1,10:00:00,26/10/2020 03:00,26/10/2020 10:05
26/10/2020,03:00:00,yes,26/10/2020,10:05:00,Topic 67b,no,epitweetr,EI expert 1,10:00:00,26/10/2020 03:00,26/10/2020 10:05
27/10/2020,03:00:00,yes,27/10/2020,08:22:00,Topic 67b,no,epitweetr,EI expert 1,08:15:00,27/10/2020 03:00,27/10/2020 08:22
